R(km),U(m/s)
18.586,33.4
18.586,33.8
18.595,33.4
18.595,37.6
39.958,30.8
39.958,30.4
39.993,33.2
39.993,32.2
43.1,29.2
43.1,28.8
43.111,25.2
43.111,30.8
55.734,25.8
55.734,27.6
55.809,35
55.809,30.8
64.023,27.8
64.023,25.2
64.083,30
64.083,28.2
69.874,23.6
69.874,23.2
69.885,24.6
69.885,27.6
74.857,25.2
74.857,22.8
75.013,31.6
75.013,29.4
78.284,21.8
78.284,24
78.374,28.2
78.374,29.2
88.613,25.8
88.613,22.2
88.699,27.4
88.699,23.2
92.848,23.4
92.848,21.2
93.057,29.4
93.057,27.4
96.693,23.2
96.693,19.8
96.929,27.4
96.929,24.6
97.054,20
97.054,20.8
97.065,28
97.065,25.4
103.26,20.6
103.26,20.4
103.36,24.4
103.36,28
111.17,22
111.17,15.8
111.51,26.8
111.51,24.2
113.39,20.8
113.39,20.4
113.5,19.4
113.5,21.4
114.67,20
114.67,19.4
114.91,27.2
114.91,24.6
119.77,19.6
119.77,17.4
120.08,21.8
120.08,24.6
124.38,19.4
124.38,20.4
124.39,26
124.39,24
129.27,21.2
129.27,19.8
129.37,23.2
129.37,25.8
129.93,18.6
129.93,18.8
130.34,26.6
130.34,22.8
131.69,17.4
131.69,17
132.17,20.6
132.17,23.8
138.25,18
138.25,15.8
138.38,15
138.38,14
138.54,19.2
138.54,19.2
138.79,25.2
138.79,21.2
143.48,17.6
143.48,14.2
143.88,17.8
143.88,17
147.84,17.8
147.84,16.4
148.43,17.2
148.43,23
151.38,23.2
151.38,19
151.76,18.6
151.76,22.2
151.77,23.4
151.77,22.8
151.83,24.2
151.83,18.4
153.54,15.2
153.54,13.2
154.15,18.6
154.15,18.2
155.79,22
155.79,19.2
155.89,21
155.89,24.4
163.15,17.2
163.15,14.6
163.32,16.8
163.32,16.2
163.54,18
163.54,17.4
163.81,22.6
163.81,20.8
166.97,17.6
166.97,21.6
167.55,16.6
167.55,16.4
167.57,15
167.57,15.8
167.65,15.2
167.65,18.6
168.04,15.4
168.04,17.2
168.34,16.6
168.34,16.2
174.53,26
174.53,15.2
175.01,20.6
175.01,15.6
176.21,16.2
176.21,16.8
176.96,17.2
176.96,17
179.18,17.2
179.18,16.2
179.19,21
179.19,19.8
182.6,15.4
182.6,17.8
182.7,17.8
182.7,20.8
184.62,17
184.62,19.2
185.54,16
185.54,17.6
188.09,18
188.09,15.2
188.19,14.6
188.19,20.8
188.27,16.2
188.27,17.2
188.51,18.4
188.51,14.8
188.93,16.6
188.93,18.2
189.24,14.4
189.24,16
189.48,18.6
189.48,16.4
189.51,19.6
189.51,17.2
191.88,17
191.88,15.8
192.43,15.8
192.43,18.2
198.8,16.6
198.8,12.2
199.3,16.8
199.3,13.8
199.43,14.2
199.43,18
200.31,14.6
200.31,17.6
203.79,17.6
203.79,12.6
203.98,12.6
203.98,18.6
204.95,18.2
204.95,16.4
204.99,17.2
204.99,21.2
206.62,15.6
206.62,15.8
206.63,18
206.63,18.4
209.59,16
209.59,17
209.69,17.4
209.69,17.4
210.33,12.4
210.33,16.8
210.87,9.4
210.87,17.8
211.49,13.4
211.49,16
211.64,17
211.64,18.4
213.04,13.4
213.04,15.8
213.25,11.8
213.25,16.4
215.39,15.6
215.39,12.8
215.66,20.4
215.66,17
216.35,12.2
216.35,19.4
216.97,12.2
216.97,15.8
221.45,15.2
221.45,10.8
222.75,17
222.75,15.6
223.03,12
223.03,19.4
223.81,20.4
223.81,9.8
224.03,11.4
224.03,15
224.09,10.8
224.09,16.4
224.32,15.6
224.32,15.6
225.04,11
225.04,18
225.49,12.4
225.49,13.2
226.13,15.8
226.13,19.2
232.78,13
232.78,15.8
234.08,11.6
234.08,13.8
234.09,17.6
234.09,16.6
234.13,10.4
234.13,13.6
234.58,9.4
234.58,19.8
235.38,14.8
235.38,21.2
236.69,11.4
236.69,14.8
236.79,17.6
236.79,17
238,14.2
238,13.2
238.24,17.8
238.24,14.8
240.22,10.4
240.22,13.8
240.93,16.4
240.93,12.2
240.95,17
240.95,9.8
241.62,17.6
241.62,14.6
241.82,10.4
241.82,13
241.84,14.4
241.84,10.6
242.11,14.8
242.11,16.8
242.37,12.4
242.37,12
245.25,12.4
245.25,17.8
246.89,12
246.89,13.2
246.89,17
246.89,11
247.37,11.6
247.37,17.4
248.03,14.4
248.03,13.8
248.51,14
248.51,10.8
249.35,10.6
249.35,11.2
249.87,14.6
249.87,15.8
255.69,17
255.69,10
257.23,12.2
257.23,14.4
258.28,11.6
258.28,11.4
259.04,13.8
259.04,15.8
259.86,13.4
259.86,14
260.03,12.2
260.03,17.6
260.04,10.6
260.04,13.6
261.54,12.8
261.54,13.6
261.55,12.8
261.55,11.6
261.9,17.8
261.9,11.6
261.92,11.6
261.92,12.8
262.98,18.2
262.98,12.6
263.24,13.6
263.24,12.8
263.4,15.2
263.4,9.4
263.88,13.4
263.88,12.4
263.98,12.8
263.98,12.8
265.58,19.2
265.58,12
266.35,16.2
266.35,12.4
267.05,18.4
267.05,11.6
268.49,14.2
268.49,14.8
268.77,10
268.77,13.6
268.93,11.6
268.93,13
270.65,13.4
270.65,16.2
270.96,15.8
270.96,11.8
271.83,10.2
271.83,11.4
272.22,15.2
272.22,12.6
275.27,15.4
275.27,15.2
275.8,13.6
275.8,10.8
276.76,11.6
276.76,14.2
277.89,12.2
277.89,14.6
278.87,10.8
278.87,11.6
278.95,17.6
278.95,12.4
279.78,12
279.78,13.6
280.64,18.4
280.64,11.4
280.67,14.2
280.67,12.2
282.84,10.8
282.84,12
283.97,16
283.97,12.4
284.05,13.4
284.05,16.4
284.89,8.2
284.89,9
285.54,16.2
285.54,12
287.96,11.4
287.96,16.4
288.24,11.6
288.24,16.8
289.02,15.4
289.02,14
289.03,25.2
289.03,23.8
289.35,17
289.35,14.2
290.28,11.4
290.28,18
291.13,13.8
291.13,14.8
291.13,11.6
291.13,16.4
291.23,20.6
291.23,19.6
291.48,14.8
291.48,11.6
294.66,12.4
294.66,15.6
295.11,11.4
295.11,13
295.17,11
295.17,18.8
295.31,14.2
295.31,13.8
295.58,16.8
295.58,18.4
295.87,12.6
295.87,8.8
296.17,13.6
296.17,11
296.56,11.6
296.56,15
297.39,12.4
297.39,9.8
298.63,13.8
298.63,11.4
298.75,11.6
298.75,15.8
300.73,16.6
300.73,10
301.47,15.2
301.47,13.4
301.9,17
301.9,12.8
302,16.6
302,22.2
302.48,11.6
302.48,18.2
304.38,11.4
304.38,14.4
304.39,14.8
304.39,11.4
306.91,15.4
306.91,11.6
308.53,10.4
308.53,12.8
309.49,12.4
309.49,15.8
310.34,17.4
310.34,12.4
312.05,13.8
312.05,14.2
312.94,13.2
312.94,11
313.25,15.4
313.25,11
313.35,10.2
313.35,10.8
314.41,11
314.41,13.4
314.79,11
314.79,15.2
